Student_ID,Age,Gender,Course,Logins,Content_Reads,Forum_Posts,Quiz_Reviews,Assignment1_Late,Assignment2_Late,Assignment3_Late,Avg_Assignment_Time,Engagement_Level,Risk_Score,Risk_Level,Dropout,Suggestion
STU1000,24,Male,cse,154,211,44,7,1,0,0,30,Low,39.07,Low Risk,No,Maintain performance
STU1001,21,Male,IT,251,353,25,3,0,0,0,77,High,35.53,Low Risk,No,Maintain performance
STU1002,22,Female,IT,271,532,15,1,1,0,1,135,High,62.87,Medium Risk,No,Improve consistency
STU1003,24,Female,ECE,255,409,35,5,0,1,1,52,High,45,Medium Risk,No,Improve consistency
STU1004,20,Female,ECE,7,227,32,1,0,0,1,191,Low,77.87,High Risk,Yes,"Attend mentoring, increase activity"
STU1005,22,Female,CSE,80,454,19,4,0,0,0,109,Low,59.93,Medium Risk,No,Improve consistency
STU1006,22,Male,IT,91,774,12,1,0,1,0,249,Low,78.67,High Risk,Yes,"Attend mentoring, increase activity"
STU1007,24,Female,CSE,274,231,32,2,1,0,0,209,High,40.27,Medium Risk,No,Improve consistency
STU1008,19,Female,IT,229,392,4,5,0,1,0,125,Low,57.07,Medium Risk,No,Improve consistency
STU1009,20,Male,EEE,22,601,36,0,0,0,0,124,Low,65.47,Medium Risk,No,Improve consistency
STU1010,24,Male,EEE,117,16,13,5,0,0,0,151,Low,56.6,Medium Risk,No,Improve consistency
STU1011,20,Female,CSE,255,281,26,2,0,1,0,128,Low,46.4,Medium Risk,No,Improve consistency
STU1012,20,Female,CSE,237,748,22,6,0,1,1,102,High,53.2,Medium Risk,No,Improve consistency
STU1013,22,Male,CSE,283,25,13,1,1,0,1,18,Low,62.47,Medium Risk,No,Improve consistency
STU1014,21,Female,ECE,206,433,39,5,0,0,0,82,High,29.13,Low Risk,No,Maintain performance
STU1015,20,Male,ECE,87,533,3,7,0,1,0,35,Low,72.6,High Risk,Yes,"Attend mentoring, increase activity"
STU1016,23,Male,ECE,129,762,38,0,0,0,1,248,High,60,Medium Risk,No,Improve consistency
STU1017,22,Male,CSE,179,30,18,8,0,0,0,154,Low,39.33,Low Risk,No,Maintain performance
STU1018,19,Male,IT,73,699,46,4,0,0,1,77,High,54.67,Medium Risk,No,Improve consistency
STU1019,21,Female,EEE,51,237,3,4,0,0,0,197,Low,73.4,High Risk,Yes,"Attend mentoring, increase activity"
STU1020,23,Male,CSE,260,794,29,4,0,0,1,140,High,39.93,Low Risk,No,Maintain performance
STU1021,23,Male,ECE,219,297,18,5,0,1,1,230,Low,60,Medium Risk,No,Improve consistency
STU1022,19,Female,ECE,34,143,30,1,1,0,0,290,Low,75.47,High Risk,Yes,"Attend mentoring, increase activity"
STU1023,21,Male,CSE,285,292,30,5,0,1,0,286,High,34,Low Risk,No,Maintain performance
STU1024,22,Female,CSE,241,413,8,3,0,0,0,149,Low,47.07,Medium Risk,No,Improve consistency
STU1025,18,Female,ECE,252,674,12,7,1,0,1,63,High,55.2,Medium Risk,No,Improve consistency
